;A;C;freq;AA;CC
1;1;1;0,000884536;A1;C1
2;1;12;0,005457777;A1;C12
3;1;14;0,002463322;A1;C14
4;1;15;0,005386415;A1;C15
5;1;16;0,002898122;A1;C16
6;1;17;0,000704031;A1;C17
7;1;18;0,000148269;A1;C18
8;1;2;0,001664739;A1;C2
9;1;3;0,00261556;A1;C3
10;1;4;0,008556446;A1;C4
11;1;5;0,003196384;A1;C5
12;1;6;0,016531251;A1;C6
13;1;7;0,057050573;A1;C7
14;1;8;0,001383696;A1;C8
15;11;1;0,00410004;A11;C1
16;11;12;0,00320273;A11;C12
17;11;14;0,000590785;A11;C14
18;11;15;0,004880153;A11;C15
19;11;16;0,00162539;A11;C16
20;11;17;0,000211632;A11;C17
21;11;2;0,001999742;A11;C2
22;11;3;0,005116602;A11;C3
23;11;4;0,022072269;A11;C4
24;11;5;0,004966222;A11;C5
25;11;6;0,001287496;A11;C6
26;11;7;0,010772214;A11;C7
27;11;8;0,003989292;A11;C8
28;2;1;0,009594177;A2;C1
29;2;12;0,012578479;A2;C12
30;2;14;0,016448988;A2;C14
31;2;15;0,013147189;A2;C15
32;2;16;0,012964508;A2;C16
33;2;17;0,002503128;A2;C17
34;2;18;0,000103833;A2;C18
35;2;2;0,020005558;A2;C2
36;2;3;0,018661046;A2;C3
37;2;4;0,033583711;A2;C4
38;2;5;0,040611108;A2;C5
39;2;6;0,029726206;A2;C6
40;2;7;0,055544294;A2;C7
41;2;8;0,009565284;A2;C8
42;23;1;0,000237452;A23;C1
43;23;12;0,000507596;A23;C12
44;23;14;0,000250679;A23;C14
45;23;15;0,001029505;A23;C15
46;23;16;0,001905954;A23;C16
47;23;17;0,00041924;A23;C17
48;23;2;0,003156059;A23;C2
49;23;3;0,0006613;A23;C3
50;23;4;0,018373632;A23;C4
51;23;5;0,001075836;A23;C5
52;23;6;0,004482344;A23;C6
53;23;7;0,011102786;A23;C7
54;23;8;0,00189803;A23;C8
55;24;1;0,001846363;A24;C1
56;24;12;0,00918639;A24;C12
57;24;14;0,001407153;A24;C14
58;24;15;0,003102274;A24;C15
59;24;16;0,005867297;A24;C16
60;24;17;0,000478836;A24;C17
61;24;18;4,62E-05;A24;C18
62;24;2;0,010991334;A24;C2
63;24;3;0,011648489;A24;C3
64;24;4;0,016401846;A24;C4
65;24;5;0,006260894;A24;C5
66;24;6;0,006940979;A24;C6
67;24;7;0,024366637;A24;C7
68;24;8;0,004290017;A24;C8
69;25;1;1,08E-10;A25;C1
70;25;12;0,007054515;A25;C12
71;25;14;0,000331505;A25;C14
72;25;15;0,000913251;A25;C15
73;25;16;0,000377538;A25;C16
74;25;17;6,02E-05;A25;C17
75;25;2;0,000342793;A25;C2
76;25;3;0,003644137;A25;C3
77;25;4;0,000712639;A25;C4
78;25;5;0,000892443;A25;C5
79;25;6;0,000621131;A25;C6
80;25;7;0,001027405;A25;C7
81;25;8;7,81E-05;A25;C8
82;26;1;0,001378331;A26;C1
83;26;12;0,010993029;A26;C12
84;26;14;0,001351866;A26;C14
85;26;15;0,000968439;A26;C15
86;26;16;0,00095265;A26;C16
87;26;17;0,000118386;A26;C17
88;26;2;0,001325234;A26;C2
89;26;3;0,003562855;A26;C3
90;26;4;0,002871514;A26;C4
91;26;5;0,001105923;A26;C5
92;26;6;0,001488113;A26;C6
93;26;7;0,005007394;A26;C7
94;26;8;0,001790223;A26;C8
95;29;1;0,000380886;A29;C1
96;29;12;0,001043453;A29;C12
97;29;14;0,000840482;A29;C14
98;29;15;0,001969154;A29;C15
99;29;16;0,030804801;A29;C16
100;29;17;4,55E-05;A29;C17
101;29;18;4,07E-05;A29;C18
102;29;2;0,002199359;A29;C2
103;29;3;0,002016372;A29;C3
104;29;4;0,003121121;A29;C4
105;29;5;0,001018842;A29;C5
106;29;6;0,003828673;A29;C6
107;29;7;0,004728033;A29;C7
108;29;8;0,001498828;A29;C8
109;3;1;0,001730691;A3;C1
110;3;12;0,005517644;A3;C12
111;3;14;0,001788078;A3;C14
112;3;15;0,007744231;A3;C15
113;3;16;0,002051402;A3;C16
114;3;17;0,001027214;A3;C17
115;3;18;0,000272191;A3;C18
116;3;2;0,007146957;A3;C2
117;3;3;0,005990591;A3;C3
118;3;4;0,024178782;A3;C4
119;3;5;0,002593025;A3;C5
120;3;6;0,006716464;A3;C6
121;3;7;0,030419735;A3;C7
122;3;8;0,006447348;A3;C8
123;30;1;1,71E-05;A30;C1
124;30;12;0,000558394;A30;C12
125;30;14;0,000523444;A30;C14
126;30;15;0,000869068;A30;C15
127;30;16;0,001212789;A30;C16
128;30;17;0,000949428;A30;C17
129;30;18;2,10E-05;A30;C18
130;30;2;0,001642653;A30;C2
131;30;3;0,001093407;A30;C3
132;30;4;0,002141794;A30;C4
133;30;5;0,00767975;A30;C5
134;30;6;0,005897284;A30;C6
135;30;7;0,003033481;A30;C7
136;30;8;0,002615585;A30;C8
137;31;1;0,000717171;A31;C1
138;31;12;0,002257384;A31;C12
139;31;14;0,000323603;A31;C14
140;31;15;0,006039501;A31;C15
141;31;16;0,000996127;A31;C16
142;31;17;3,49E-05;A31;C17
143;31;18;8,02E-06;A31;C18
144;31;2;0,000944785;A31;C2
145;31;3;0,004133973;A31;C3
146;31;4;0,001934236;A31;C4
147;31;5;0,001981531;A31;C5
148;31;6;0,001647535;A31;C6
149;31;7;0,002464474;A31;C7
150;31;8;0,001705616;A31;C8
151;32;1;0,00200712;A32;C1
152;32;12;0,002263158;A32;C12
153;32;14;0,000179425;A32;C14
154;32;15;0,001454951;A32;C15
155;32;16;0,000449016;A32;C16
156;32;17;0,00014143;A32;C17
157;32;18;1,26E-05;A32;C18
158;32;2;0,005665946;A32;C2
159;32;3;0,00271006;A32;C3
160;32;4;0,006384058;A32;C4
161;32;5;0,002751382;A32;C5
162;32;6;0,001700394;A32;C6
163;32;7;0,006553524;A32;C7
164;32;8;0,006905201;A32;C8
165;33;1;8,65E-05;A33;C1
166;33;12;0,000996355;A33;C12
167;33;14;0,000210732;A33;C14
168;33;15;0,000426598;A33;C15
169;33;16;0,000733172;A33;C16
170;33;17;9,98E-05;A33;C17
171;33;2;0,002926246;A33;C2
172;33;3;0,001008053;A33;C3
173;33;4;0,001148915;A33;C4
174;33;5;0,000319494;A33;C5
175;33;6;0,001914058;A33;C6
176;33;7;0,00157951;A33;C7
177;33;8;0,023662257;A33;C8
178;34;1;1,53E-05;A34;C1
179;34;12;2,02E-12;A34;C12
180;34;15;0,000131529;A34;C15
181;34;16;0,000135726;A34;C16
182;34;17;3,38E-05;A34;C17
183;34;3;0,000135622;A34;C3
184;34;4;9,42E-05;A34;C4
185;34;5;0,00017391;A34;C5
186;34;6;0,000536801;A34;C6
187;34;7;0,003045649;A34;C7
188;34;8;0,000132529;A34;C8
189;36;14;3,02E-05;A36;C14
190;36;16;1,32E-05;A36;C16
191;36;4;0,000511025;A36;C4
192;36;6;3,78E-05;A36;C6
193;66;12;0,000839331;A66;C12
194;66;14;3,17E-05;A66;C14
195;66;15;0,000243889;A66;C15
196;66;16;0,000394194;A66;C16
197;66;17;0,003462686;A66;C17
198;66;2;0,000180737;A66;C2
199;66;3;7,23E-05;A66;C3
200;66;4;0,002388423;A66;C4
201;66;5;5,86E-05;A66;C5
202;66;6;0,000846353;A66;C6
203;66;7;0,00055061;A66;C7
204;66;8;7,76E-05;A66;C8
205;68;1;0,001203369;A68;C1
206;68;12;0,003752301;A68;C12
207;68;14;0,002455413;A68;C14
208;68;15;0,004562636;A68;C15
209;68;16;0,003424311;A68;C16
210;68;17;0,000228011;A68;C17
211;68;18;5,78E-05;A68;C18
212;68;2;0,002665307;A68;C2
213;68;3;0,003688528;A68;C3
214;68;4;0,009437767;A68;C4
215;68;5;0,001729806;A68;C5
216;68;6;0,002183201;A68;C6
217;68;7;0,012485893;A68;C7
218;68;8;0,002108565;A68;C8
219;69;1;0,000265993;A69;C1
220;69;12;0,001040696;A69;C12
221;69;14;4,12E-05;A69;C14
222;69;15;0,000157188;A69;C15
223;69;2;1,42E-05;A69;C2
224;69;3;0,000709745;A69;C3
225;69;4;0,000101483;A69;C4
226;69;5;0,000284755;A69;C5
227;69;6;1,19E-05;A69;C6
228;69;7;0,000728812;A69;C7
229;74;16;6,14E-05;A74;C16
230;74;17;3,64E-05;A74;C17
231;74;2;0,000493561;A74;C2
232;74;3;3,06E-05;A74;C3
233;74;4;0,000307956;A74;C4
234;74;5;1,16E-05;A74;C5
235;74;6;6,53E-05;A74;C6
236;74;7;6,86E-06;A74;C7
237;74;8;0,000104808;A74;C8
238;80;15;2,33E-05;A80;C15
239;80;17;1,32E-05;A80;C17
240;80;2;5,44E-05;A80;C2
241;80;3;1,24E-12;A80;C3
242;80;4;0,000417215;A80;C4
243;80;7;0,000153541;A80;C7
244;80;8;0,000114866;A80;C8
