;B;C;freq;BB;CC
1;13;1;1,21E-05;B13;C1
2;13;2;1,65E-05;B13;C2
3;13;3;0,000103674;B13;C3
4;13;4;4,15E-05;B13;C4
5;13;6;0,014895106;B13;C6
6;13;7;0,000289206;B13;C7
7;13;8;1,32E-05;B13;C8
8;14;12;4,32E-05;B14;C12
9;14;14;0,000174809;B14;C14
10;14;15;0,001646168;B14;C15
11;14;2;0,005927083;B14;C2
12;14;3;1,42E-05;B14;C3
13;14;5;0,000145842;B14;C5
14;14;6;0,000651497;B14;C6
15;14;7;9,98E-05;B14;C7
16;14;8;0,06700872;B14;C8
17;15;1;0,002276313;B15;C1
18;15;12;0,000579196;B15;C12
19;15;14;0,001360614;B15;C14
20;15;15;4,90E-05;B15;C15
21;15;16;0,000968337;B15;C16
22;15;17;5,19E-05;B15;C17
23;15;18;1,34E-05;B15;C18
24;15;2;0,004832266;B15;C2
25;15;3;0,029598248;B15;C3
26;15;4;0,002526199;B15;C4
27;15;5;0,000175543;B15;C5
28;15;6;0,000104259;B15;C6
29;15;7;0,013806813;B15;C7
30;15;8;0,000128839;B15;C8
31;18;1;0,000798426;B18;C1
32;18;12;0,012153806;B18;C12
33;18;16;1,44E-05;B18;C16
34;18;2;0,004410069;B18;C2
35;18;3;0,000309167;B18;C3
36;18;4;4,64E-05;B18;C4
37;18;5;0,015261517;B18;C5
38;18;6;0,000240366;B18;C6
39;18;7;0,014458912;B18;C7
40;27;1;0,011211555;B27;C1
41;27;14;1,48E-05;B27;C14
42;27;15;0,000734393;B27;C15
43;27;16;1,85E-05;B27;C16
44;27;2;0,016136573;B27;C2
45;27;3;0,000196126;B27;C3
46;27;4;1,82E-05;B27;C4
47;27;5;0,000984571;B27;C5
48;27;6;0,000988339;B27;C6
49;27;7;0,000385295;B27;C7
50;27;8;6,74E-05;B27;C8
51;35;1;0,000379205;B35;C1
52;35;12;0,008041241;B35;C12
53;35;14;9,48E-05;B35;C14
54;35;15;0,000649245;B35;C15
55;35;16;0,000151236;B35;C16
56;35;17;1,33E-05;B35;C17
57;35;2;0,000899698;B35;C2
58;35;3;0,000951913;B35;C3
59;35;4;0,105188723;B35;C4
60;35;5;0,000188752;B35;C5
61;35;6;0,000837349;B35;C6
62;35;7;0,00024152;B35;C7
63;35;8;9,53E-05;B35;C8
64;37;1;9,05E-07;B37;C1
65;37;12;1,56E-05;B37;C12
66;37;15;6,87E-05;B37;C15
67;37;16;3,11E-05;B37;C16
68;37;2;2,46E-05;B37;C2
69;37;4;3,60E-05;B37;C4
70;37;5;1,60E-05;B37;C5
71;37;6;0,012813011;B37;C6
72;37;7;7,53E-05;B37;C7
73;38;12;0,022329183;B38;C12
74;38;16;0,000459424;B38;C16
75;38;4;1,54E-05;B38;C4
76;38;5;0,000125742;B38;C5
77;38;6;0,000939579;B38;C6
78;38;7;5,61E-05;B38;C7
79;39;1;4,14E-05;B39;C1
80;39;12;0,010345575;B39;C12
81;39;15;8,80E-05;B39;C15
82;39;3;0,000196198;B39;C3
83;39;5;0,000150187;B39;C5
84;39;7;0,006523958;B39;C7
85;40;1;0,000145196;B40;C1
86;40;12;0,000547493;B40;C12
87;40;14;0,00017417;B40;C14
88;40;15;0,002815498;B40;C15
89;40;16;1,55E-05;B40;C16
90;40;2;0,009838474;B40;C2
91;40;3;0,020642598;B40;C3
92;40;5;0,000103877;B40;C5
93;40;6;0,000107102;B40;C6
94;40;7;0,000234645;B40;C7
95;40;8;2,65E-05;B40;C8
96;41;16;0,000218188;B41;C16
97;41;17;0,009238193;B41;C17
98;41;2;2,74E-05;B41;C2
99;41;3;1,44E-05;B41;C3
100;41;4;8,46E-05;B41;C4
101;41;6;0,00040936;B41;C6
102;41;7;0,001299421;B41;C7
103;41;8;1,32E-05;B41;C8
104;42;17;0,001171268;B42;C17
105;44;1;0,001047067;B44;C1
106;44;12;0,00106251;B44;C12
107;44;14;0,000885295;B44;C14
108;44;15;0,000967394;B44;C15
109;44;16;0,048094819;B44;C16
110;44;17;1,33E-05;B44;C17
111;44;2;0,007655385;B44;C2
112;44;3;0,000209099;B44;C3
113;44;4;0,028763406;B44;C4
114;44;5;0,055169248;B44;C5
115;44;6;0,000437224;B44;C6
116;44;7;0,005943004;B44;C7
117;44;8;0,000122099;B44;C8
118;45;12;4,68E-05;B45;C12
119;45;16;0,004846919;B45;C16
120;45;17;1,32E-05;B45;C17
121;45;6;0,00825027;B45;C6
122;45;7;1,63E-05;B45;C7
123;46;1;5,26E-05;B46;C1
124;47;3;0,000480416;B47;C3
125;47;6;0,001413795;B47;C6
126;47;7;0,000790494;B47;C7
127;48;4;1,32E-05;B48;C4
128;48;8;0,000829099;B48;C8
129;49;12;1,53E-05;B49;C12
130;49;14;1,37E-05;B49;C14
131;49;15;1,35E-05;B49;C15
132;49;16;1,38E-05;B49;C16
133;49;2;0,000262075;B49;C2
134;49;3;1,47E-05;B49;C3
135;49;6;0,000179829;B49;C6
136;49;7;0,033414296;B49;C7
137;49;8;1,33E-05;B49;C8
138;50;1;3,06E-05;B50;C1
139;50;12;0,000252022;B50;C12
140;50;15;0,000550344;B50;C15
141;50;16;7,64E-05;B50;C16
142;50;17;3,95E-05;B50;C17
143;50;2;2,09E-05;B50;C2
144;50;3;0,000124986;B50;C3
145;50;4;0,004890985;B50;C4
146;50;5;0,001331632;B50;C5
147;50;6;0,029683906;B50;C6
148;50;7;0,000518849;B50;C7
149;51;1;0,003286955;B51;C1
150;51;12;0,00318502;B51;C12
151;51;14;0,026519501;B51;C14
152;51;15;0,038928416;B51;C15
153;51;16;0,010623068;B51;C16
154;51;2;0,012830175;B51;C2
155;51;3;0,001385042;B51;C3
156;51;4;0,003080061;B51;C4
157;51;5;0,002576967;B51;C5
158;51;6;0,00012657;B51;C6
159;51;7;0,004322323;B51;C7
160;51;8;2,40E-05;B51;C8
161;52;12;0,007060005;B52;C12
162;52;14;1,16E-05;B52;C14
163;52;15;0,000145138;B52;C15
164;52;16;9,07E-05;B52;C16
165;52;2;2,18E-09;B52;C2
166;52;4;4,86E-05;B52;C4
167;52;7;1,38E-05;B52;C7
168;53;1;1,88E-13;B53;C1
169;53;14;4,76E-06;B53;C14
170;53;15;0,000711303;B53;C15
171;53;3;1,32E-05;B53;C3
172;53;4;0,009823959;B53;C4
173;53;5;1,37E-05;B53;C5
174;53;6;6,09E-05;B53;C6
175;53;7;7,15E-05;B53;C7
176;54;1;5,26E-05;B54;C1
177;55;1;0,001477121;B55;C1
178;55;15;2,72E-05;B55;C15
179;55;16;1,55E-05;B55;C16
180;55;3;0,009267623;B55;C3
181;55;5;0,000161917;B55;C5
182;56;1;0,003640855;B56;C1
183;56;15;2,01E-12;B56;C15
184;56;2;0,000144332;B56;C2
185;56;4;1,54E-05;B56;C4
186;56;5;2,91E-05;B56;C5
187;57;1;1,21E-05;B57;C1
188;57;12;0,001060539;B57;C12
189;57;14;1,45E-05;B57;C14
190;57;16;2,16E-05;B57;C16
191;57;17;1,31E-05;B57;C17
192;57;18;0,000618056;B57;C18
193;57;2;7,83E-05;B57;C2
194;57;4;0,000102879;B57;C4
195;57;5;0,000103161;B57;C5
196;57;6;0,014072076;B57;C6
197;57;7;0,012487916;B57;C7
198;57;8;1,32E-05;B57;C8
199;58;12;2,05E-05;B58;C12
200;58;18;1,34E-05;B58;C18
201;58;3;0,002988543;B58;C3
202;58;6;0,00016026;B58;C6
203;58;7;0,015531236;B58;C7
204;67;12;0,000282017;B67;C12
205;67;16;7,36E-06;B67;C16
206;67;2;1,33E-05;B67;C2
207;7;12;0,000178288;B7;C12
208;7;15;0,00528645;B7;C15
209;7;16;7,05E-05;B7;C16
210;7;17;1,40E-05;B7;C17
211;7;2;0,000270403;B7;C2
212;7;3;4,49E-05;B7;C3
213;7;4;2,37E-05;B7;C4
214;7;5;0,000111212;B7;C5
215;7;6;2,32E-05;B7;C6
216;7;7;0,054159441;B7;C7
217;73;15;0,000368489;B73;C15
218;78;16;0,001065985;B78;C16
219;78;6;1,32E-05;B78;C6
220;8;12;3,08E-05;B8;C12
221;8;16;6,43E-05;B8;C16
222;8;2;3,20E-05;B8;C2
223;8;3;0,000931147;B8;C3
224;8;4;1,99E-05;B8;C4
225;8;5;6,25E-05;B8;C5
226;8;6;5,61E-05;B8;C6
227;8;7;0,065881329;B8;C7
228;81;18;6,58E-05;B81;C18
229;81;8;1,32E-05;B81;C8
230;82;3;1,32E-05;B82;C3
